,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_max_depth,config/et_max_features,config/et_min_samples_leaf,config/et_min_samples_split,config/et_n_estimators,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
184,6350.0,1716982709,,False,1,8f11873d,2024-05-29_13-38-29,1.316429853439331,1.316429853439331,46968,DESKTOP-8J3QSBJ,127.0.0.1,1.316429853439331,1,"[100, 101, 102, 103, 104, 105]",False,12,sqrt,1,9,136,0.1912221420787335,liblinear,0.625114560541831,poly,0.0016831621054970158,0.35546318811948524,0.8976382993470136,0.8749292747428171,0.3988533040884314,0.6223982979331324,0.02090332322200505,5.3048275568832235,7,2,0.9562865836720306,8f11873d
185,6500.0,1716982711,,False,1,6e4e725b,2024-05-29_13-38-31,1.2341692447662354,1.2341692447662354,27868,DESKTOP-8J3QSBJ,127.0.0.1,1.2341692447662354,1,"[100, 104, 102, 103, 105]",True,9,log2,7,4,143,0.7745144445647113,lbfgs,1.110547954171166,linear,0.1770378684442745,0.7427786115507649,0.359551708409405,0.16888994548210512,4.440171593957376,0.6287481138037181,0.09227799915029934,0.008101882281535416,6,1,0.6633840380573552,6e4e725b
186,6450.0,1716982713,,False,1,539d76d5,2024-05-29_13-38-33,1.1459991931915283,1.1459991931915283,63324,DESKTOP-8J3QSBJ,127.0.0.1,1.1459991931915283,1,"[101, 103, 105]",True,14,log2,5,3,118,0.2903203063009558,liblinear,1.9386625288094794,linear,0.8382640994774276,0.674400070956425,0.7669198564772753,0.034545036357484196,0.004169780651022325,0.8216654977679095,0.03328253310628299,0.005769102432863584,8,2,0.682969188224354,539d76d5
187,6750.0,1716982715,,False,1,f3cdfc00,2024-05-29_13-38-35,1.2870628833770752,1.2870628833770752,55368,DESKTOP-8J3QSBJ,127.0.0.1,1.2870628833770752,1,"[101, 102, 103]",True,11,log2,7,4,125,0.38401204505016734,lbfgs,0.8260506877525645,poly,0.8158397794668846,0.32441427871066153,0.29912963786423735,0.42805643790818415,0.012679066914105834,0.6432909719670932,0.03957808817500743,0.0013170742839262574,7,3,0.7314108893471358,f3cdfc00
188,6450.0,1716982717,,False,1,f5cdd307,2024-05-29_13-38-37,1.293999433517456,1.293999433517456,35564,DESKTOP-8J3QSBJ,127.0.0.1,1.293999433517456,1,"[100, 101, 103, 105]",False,4,sqrt,6,8,108,2.5582874750360576,liblinear,6.951472867475479,sigmoid,0.4740873808159989,0.33913280848499205,0.1494417990841157,0.16353923882848886,0.24253845838555962,0.8199084602073199,0.012248646687160906,0.1311664666312873,10,3,0.9850797266040101,f5cdd307
189,6300.0,1716982719,,False,1,4a2f87f8,2024-05-29_13-38-39,1.6101062297821045,1.6101062297821045,42736,DESKTOP-8J3QSBJ,127.0.0.1,1.6101062297821045,1,"[101, 103, 105]",True,18,log2,2,10,132,3.5127444180567107,liblinear,5.782338974083389,rbf,0.5934263250535927,0.5692232458419108,0.4718638597674589,0.35639082383928,0.02396643520899165,0.9450400347712707,0.046798877669511615,0.04067083654404307,7,3,0.5398988677377419,4a2f87f8
190,6350.0,1716982720,,False,1,79bee1eb,2024-05-29_13-38-40,1.2120606899261475,1.2120606899261475,19660,DESKTOP-8J3QSBJ,127.0.0.1,1.2120606899261475,1,"[100, 101, 103, 105]",False,9,sqrt,6,5,169,0.1529794015637518,liblinear,1.7453907396231878,linear,0.14541940986159696,0.7503483230390103,0.5457001624344446,0.051743643960139106,0.023503931019890206,0.874760914268871,0.056374020317544536,0.24396833063561058,5,2,0.6436969177143259,79bee1eb
191,5650.0,1716982722,,False,1,fa9faa31,2024-05-29_13-38-42,0.9385411739349365,0.9385411739349365,27884,DESKTOP-8J3QSBJ,127.0.0.1,0.9385411739349365,1,"[101, 102, 103, 105]",True,9,log2,6,6,85,6.598708904616941,newton-cg,0.3971440187168348,linear,0.005705692227676917,0.9853917055453193,0.19435862262137316,0.006225847985873889,0.05310804932241259,0.8525747460338774,0.07293439688167083,5.239420613836853,8,5,0.6678396373812385,fa9faa31
192,6550.0,1716982725,,False,1,9394877b,2024-05-29_13-38-45,1.6128950119018555,1.6128950119018555,24684,DESKTOP-8J3QSBJ,127.0.0.1,1.6128950119018555,1,"[101, 102, 103, 105]",False,3,sqrt,8,4,163,8.633819030636506,newton-cg,0.2676583555021551,sigmoid,0.7596471239251612,0.7297002846250923,0.2505467050297214,0.6233079984757158,5.083627650861107,0.6619332725938347,0.015503964341546156,0.25501670232574225,5,5,0.5174182392620936,9394877b
193,6750.0,1716982726,,False,1,d3ecc19d,2024-05-29_13-38-46,1.5976324081420898,1.5976324081420898,46092,DESKTOP-8J3QSBJ,127.0.0.1,1.5976324081420898,1,"[100, 101, 102, 103, 105]",False,18,log2,4,5,184,7.852132259810224,newton-cg,5.495808613523159,sigmoid,0.15536535422074826,0.55551677285098,0.6393611249986663,0.6910337475609099,0.006106017133425024,0.9571159011268859,0.06680676262671875,0.18104917281336788,9,4,0.6311852138598671,d3ecc19d
