feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'auto'}",1,0.553,0.004242640687119289,0.6266666666666666,10.061185836791992
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'hist'}",1,0.553,0.004242640687119289,0.6266666666666666,10.095654726028442
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'approx'}",1,0.551,0.0029439202887759515,0.6283333333333333,24.804718335469563
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'auto'}",1,0.566,0.010801234497346393,0.6566666666666666,0.9089996019999186
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'hist'}",1,0.566,0.010801234497346393,0.6566666666666666,0.8894737561543783
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'approx'}",1,0.566,0.010801234497346393,0.6566666666666666,4.8968931833903
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5736666666666667,0.003299831645537225,0.63,3.063249429066976
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5736666666666667,0.003299831645537225,0.63,3.0540200074513755
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5666666666666668,0.010842303978193687,0.6366666666666666,8.519785324732462
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'auto'}",1,0.553,0.004242640687119289,0.6266666666666666,8.740981658299765
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'hist'}",1,0.553,0.004242640687119289,0.6266666666666666,8.799891392389933
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'approx'}",1,0.5453333333333333,0.007845734863959886,0.5983333333333333,19.34616533915202
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'auto'}",1,0.566,0.010801234497346393,0.6566666666666666,0.9083334604899088
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'hist'}",1,0.566,0.010801234497346393,0.6566666666666666,0.9244454701741537
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 150, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'approx'}",1,0.566,0.010801234497346393,0.6566666666666666,4.949098110198975
