model,n_estimators,max_depth,min_samples_split,min_samples_leaf,es,cv1,cv2,cv3,cv4,cv_mean,cv_std,columns
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=8, n_estimators=1000,
                                    random_state=42)",1000,8,8,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=9, n_estimators=1000,
                                    random_state=42)",1000,8,9,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=10,
                                    min_samples_split=7, n_estimators=1000,
                                    random_state=42)",1000,8,7,10,1280.0,1380.0,1320.0,1290.0,1410.0,1350.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=11,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,7,14,11,1310.0,1370.0,1300.0,1310.0,1430.0,1352.5,52.14163403653553,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=4, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,4,11,12,1270.0,1360.0,1280.0,1250.0,1450.0,1335.0,77.62087348130012,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=14,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,8,10,14,1290.0,1390.0,1320.0,1300.0,1420.0,1357.5,49.180788932265,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=10,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,10,1280.0,1380.0,1320.0,1290.0,1410.0,1350.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=5, min_samples_leaf=12,
                                    min_samples_split=16, n_estimators=1000,
                                    random_state=42)",1000,5,16,12,1260.0,1310.0,1280.0,1350.0,1320.0,1315.0,25.0,"['x100', 'x101', 'x102', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=6, min_samples_leaf=3,
                                    min_samples_split=4, n_estimators=1000,
                                    random_state=42)",1000,6,4,3,1270.0,1350.0,1270.0,1330.0,1340.0,1322.5,31.12474899497183,"['x100', 'x101', 'x102', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=3, min_samples_leaf=10,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,3,14,10,1210.0,1370.0,1240.0,1230.0,1250.0,1272.5,56.73402858955109,"['x100', 'x101', 'x102', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=16,
                                    n_estimators=1000, random_state=42)",1000,7,2,16,1250.0,1330.0,1270.0,1360.0,1340.0,1325.0,33.54101966249684,"['x100', 'x101', 'x102', 'x105']"
